"eui64,""property_type"",""property_size"",""property_age"",""property_ownership"",""occupants"",""occupant_type"",""space_heating"",""water_heating"",""stove_heating"",""grill_heating"",""oven_heating"",""photo_voltaic"",""fridge"",""freezer"",""combi_fridge_freezer"",""oven"",""grill"",""hob"",""microwave"",""kettle"",""toaster"",""dishwasher"",""washing_machine"",""tumble_dryer"",""iron"",""tv"",""dvd_or_bluray"",""digital_tv_box"",""games_console"",""computer"",""tablet"",""electric_shower"",""ev_charger"",""swimming_pool"",""sauna"",""month"",""year"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.04"",""OT.03"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""3"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.04"",""OT.03"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""4"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.04"",""OT.03"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""5"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.04"",""OT.03"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""6"",""2017"""
"9574384526952502071,""PT.03"",""PS.04"",""PA.04"",""OWN.01"",""OCC.05"",""OT.05"",""SH.05"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""2"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""5"",""0"",""0"",""0"",""0"",""7"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""10"",""2016"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""11"",""2016"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""1"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""12"",""2016"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""2"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""3"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""4"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""5"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""6"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""7"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""8"",""2017"""
"9574384526952503221,""PT.04"",""PS.03"",""PA.02"",""OWN.01"",""OCC.04"",""OT.05"",""SH.01"",""WH.01"",""STH.01"",""GH.02"",""OH.02"",""SOL.02"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""3"",""2"",""0"",""0"",""0"",""0"",""9"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""1"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""2"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""3"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""4"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""5"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""6"",""2017"""
"9574384526952503710,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.00"",""GH.02"",""OH.02"",""SOL.02"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""1"",""2"",""1"",""0"",""1"",""5"",""3"",""0"",""0"",""0"",""0"",""10"",""2017"""
